"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                        Total R&D personnel and researchers, in business enterprise sector by economic activity and sex (NACE Rev. 2)"	"rd_p_bempoccr2"	"dataset"	"12.12.2016"	"06.03.2017"	"2005"	"2015"	
"                        Total R&D personnel and researchers, in business enterprise sector by economic activity and sex (NACE Rev. 1.1)"	"rd_p_bempocc"	"dataset"	"30.11.2011"	"06.03.2017"	"1980"	"2010"	
"                        Total R&D personnel and researchers (FTE), in business enterprise sector, by size class (number of employees) and sex"	"rd_p_perssize"	"dataset"	"12.12.2016"	"06.03.2017"	"1980"	"2015"	
"                        Total R&D personnel and researchers by sectors of performance, sex and NUTS 2 regions"	"rd_p_persreg"	"dataset"	"03.02.2017"	"06.03.2017"	"1980"	"2014"	
"                Government budget appropriations or outlays on R&D "	"gba"	"folder"	" "	" "	" "	" "	
"                    Total GBAORD by NABS 2007 socio-economic objectives"	"gba_nabsfin07"	"dataset"	"03.05.2017"	"08.03.2017"	"1980"	"2016"	
"                    Total GBAORD by NABS 1992 socio-economic objectives"	"gba_nabsfin92"	"dataset"	"12.03.2010"	"27.02.2014"	"1980"	"2007"	
"                    Total GBAORD as a % of total general government expenditure"	"gba_nabste"	"dataset"	"03.05.2017"	"29.09.2016"	"1980"	"2015"	
"                    Total GBAORD by funding mode"	"gba_fundmod"	"dataset"	"03.05.2017"	"08.03.2017"	"2007"	"2016"	
"                    National public funding to transnationally coordinated R&D"	"gba_tncoor"	"dataset"	"03.05.2017"	"08.03.2017"	"2007"	"2015"	
"            Community innovation survey"	"inn"	"folder"	" "	" "	" "	" "	
"                Results of the first community innovation light survey 2002/2003 (CIS light)"	"inn_cisl"	"dataset"	"27.03.2009"	"10.10.2014"	"2002"	"2003"	
"                Results of the second community innovation survey (CIS2)"	"inn_cis2"	"folder"	" "	" "	" "	" "	
"                    I. General information on the surveyed population"	"inn_c1"	"folder"	" "	" "	" "	" "	
"                        Enterprises in the population and realised sample, by NACE Rev. 1.1"	"inn_c11"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Enterprises in the population and realised sample, by size class"	"inn_c12"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Enterprises in the population and realised sample in manufacturing sector, by sector of technology"	"inn_c13"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    II. Enterprises with innovation activity"	"inn_c2"	"folder"	" "	" "	" "	" "	
"                        Number of enterprises with innovation activity, by NACE Rev. 1.1"	"inn_c211"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of enterprises with innovation activity, by size class"	"inn_c212"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of enterprises with innovation activity in manufacturing sector, by sector of technology"	"inn_c213"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovating firms' level of export intensity, by size class"	"inn_c214"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovating firms' type (independent or non-independent), by size class"	"inn_c215"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Who developed the innovation activity? - by NACE Rev. 1.1"	"inn_c221"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Who developed the innovation activity? - by size class"	"inn_c222"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    III. Turnover due to innovative products (in millions of ECUs)"	"inn_c3"	"folder"	" "	" "	" "	" "	
"                        Turnover due to innovating products, by NACE Rev. 1.1"	"inn_c31"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Turnover due to innovating products, by size class"	"inn_c32"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Turnover due to innovating products in manufacturing sector, by sector of technology"	"inn_c33"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    IV. Innovation expenditures (in millions of ECUs)"	"inn_c4"	"folder"	" "	" "	" "	" "	
"                        Innovation intensity, by NACE Rev. 1.1"	"inn_c411"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovation intensity, by size class"	"inn_c412"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovation intensity in manufacturing sector, by sector of technology"	"inn_c413"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovation expenditures, by NACE Rev. 1.1"	"inn_c421"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovation expenditures, by size class"	"inn_c422"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    V. Research and development"	"inn_c5"	"folder"	" "	" "	" "	" "	
"                        Type of innovating firms' engagement in R&D, by NACE Rev. 1.1"	"inn_c511"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Type of innovating firms' engagement in R&D, by size class"	"inn_c512"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Innovating firms' level of R&D intensity, by size class"	"inn_c521"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    VI. Objectives of innovation"	"inn_c6"	"folder"	" "	" "	" "	" "	
"                        Number of innovating enterprises considering the following objectives as very important, by NACE Rev. 1.1"	"inn_c611"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the following objectives as very important, by size class"	"inn_c612"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the different listed objectives as not relevant, by NACE Rev. 1.1"	"inn_c621"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the different listed objectives as not relevant, by size class"	"inn_c622"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    VII sources of information for innovation"	"inn_c7"	"folder"	" "	" "	" "	" "	
"                        Number of innovating enterprises considering the listed sources of information as very important by NACE Rev. 1.1"	"inn_c711"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the listed sources of information as very important, by size class"	"inn_c712"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the listed sources of information as not relevant by NACE Rev. 1.1"	"inn_c721"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises considering the listed sources of information as not relevant, by size class"	"inn_c722"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    VIII. Cooperation in innovation activity"	"inn_c8"	"folder"	" "	" "	" "	" "	
"                        Number of innovating enterprises with innovation cooperation, by NACE Rev. 1.1"	"inn_c811"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises with innovation cooperation, by size class"	"inn_c812"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Type of partner chosen, by NACE Rev. 1.1"	"inn_c821"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Type of partner chosen, by size class"	"inn_c822"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Location of partner, by NACE Rev. 1.1"	"inn_c831"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Location of partner, by size class"	"inn_c832"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    IX. Factors hampering innovation"	"inn_c9"	"folder"	" "	" "	" "	" "	
"                        Number of innovating enterprises with progress problems, by NACE Rev. 1.1"	"inn_c911"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises with progress problems, by size class"	"inn_c912"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with seriously delayed projects, by NACE Rev. 1.1"	"inn_c921"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with seriously delayed projects, by size class"	"inn_c922"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with abolished projects, by NACE Rev. 1.1"	"inn_c931"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with abolished projects, by size class"	"inn_c932"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with not even started projects, by NACE Rev. 1.1"	"inn_c941"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Hampering factors for innovating enterprises with not even started projects, by size class"	"inn_c942"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                    X. Government support and patent application"	"inn_c10"	"folder"	" "	" "	" "	" "	
"                        Number of innovating enterprises supported by government, by NACE Rev. 1.1"	"inn_c1011"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises supported by government, by size class"	"inn_c1012"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises having applied for a patent, by NACE Rev. 1.1"	"inn_c1021"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                        Number of innovating enterprises having applied for a patent, by size class"	"inn_c1022"	"dataset"	"27.03.2009"	"12.10.2015"	"1996"	"1996"	
"                Results of the third community innovation survey (CIS3)"	"inn_cis3"	"folder"	" "	" "	" "	" "	
"                    General information about the enterprises"	"inn_gen"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Basic economic information on the enterprises"	"inn_bas"	"dataset"	"27.03.2009"	"12.10.2015"	"2000"	"2000"	
"                    Product and process innovation"	"inn_prod"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Innovation activity and expenditure in 2000"	"inn_exp"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Intramural R&D"	"inn_ird"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Effects of innovation during 1998-2000"	"inn_eff"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Innovation co-operation during 1998-2000 in absolute value"	"inn_coab"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Innovation co-operation during 1998-2000 in percentage"	"inn_copc"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Public funding of innovation "	"inn_pub"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Source of information for innovation during 1998-2000"	"inn_sou"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Hampered innovation activities"	"inn_ham"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Patents and other protection methods"	"inn_pat"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    Other important strategic and organizational changes"	"inn_cha"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                    The European Innovation scoreboard indicators"	"inn_sco"	"dataset"	"27.03.2009"	"10.10.2014"	"2000"	"2000"	
"                Results of the fourth community innovation survey (CIS4)"	"inn_cis4"	"folder"	" "	" "	" "	" "	
"                    General information about the enterprises"	"inn_cis4_gen"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Basic economic information on the enterprises"	"inn_cis4_bas"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Product and process innovation"	"inn_cis4_prod"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Innovation activity and expenditure in 2004"	"inn_cis4_exp"	"dataset"	"21.07.2009"	"10.10.2014"	"2004"	"2004"	
"                    Highly important effects of innovation during 2002-2004"	"inn_cis4_eff"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Public funding of innovation"	"inn_cis4_pub"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Innovation co-operation during 2002-2004"	"inn_cis4_coop"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Highly important source of information for innovation during 2002-2004"	"inn_cis4_sou"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Hampered innovation activities"	"inn_cis4_ham"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Patents and other protection methods"	"inn_cis4_pat"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Organisational and marketing innovations"	"inn_cis4_mo"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                    Highly important effects of organisational innovation"	"inn_cis4_oref"	"dataset"	"27.03.2009"	"10.10.2014"	"2004"	"2004"	
"                Results of the community innovation survey 2006 (CIS2006)"	"inn_cis5"	"folder"	" "	" "	" "	" "	
"                    General information about the enterprises"	"inn_cis5_gen"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Basic economic information on the enterprises"	"inn_cis5_bas"	"dataset"	"10.09.2009"	"10.10.2014"	"2006"	"2006"	
"                    Product and process innovation"	"inn_cis5_prod"	"dataset"	"11.03.2011"	"10.10.2014"	"2006"	"2006"	
"                    Innovation activity and expenditure in 2006"	"inn_cis5_exp"	"dataset"	"10.09.2009"	"10.10.2014"	"2006"	"2006"	
"                    Highly important effects of innovation during 2004-2006"	"inn_cis5_eff"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Public funding of innovation"	"inn_cis5_pub"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Innovation co-operation during 2004-2006"	"inn_cis5_coop"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Highly important source of information for innovation during 2004-2006"	"inn_cis5_sou"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Hampered innovation activities"	"inn_cis5_ham"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Patents and other protection methods"	"inn_cis5_pat"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                    Organisational and marketing innovations"	"inn_cis5_mo"	"dataset"	"30.06.2009"	"10.10.2014"	"2006"	"2006"	
"                    Highly important effects of organisational innovation"	"inn_cis5_oref"	"dataset"	"27.03.2009"	"10.10.2014"	"2006"	"2006"	
"                Results of the community innovation survey 2008 (CIS2008)"	"inn_cis6"	"folder"	" "	" "	" "	" "	
"                    General information about the enterprises"	"inn_cis6_gen"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Basic economic information on the enterprises"	"inn_cis6_bas"	"dataset"	"08.06.2011"	"24.11.2014"	"2008"	"2008"	
"                    Enterprises by type of innovation activity"	"inn_cis6_type"	"dataset"	"21.12.2011"	"24.11.2014"	"2008"	"2008"	
"                    Product and process innovation"	"inn_cis6_prod"	"dataset"	"17.06.2011"	"24.11.2014"	"2008"	"2008"	
"                    Innovation activity and expenditure in 2008"	"inn_cis6_exp"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Public funding of innovation"	"inn_cis6_pub"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Highly important source of information for innovation during 2006-2008"	"inn_cis6_sou"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Innovation co-operation during 2006-2008"	"inn_cis6_coop"	"dataset"	"08.06.2011"	"24.11.2014"	"2008"	"2008"	
"                    Highly important innovation objectives during 2006-2008"	"inn_cis6_obj"	"dataset"	"08.06.2011"	"24.11.2014"	"2008"	"2008"	
"                    Organisational and marketing innovations"	"inn_cis6_mo"	"dataset"	"21.12.2011"	"24.11.2014"	"2008"	"2008"	
"                    Implementation type of a new organisational method"	"inn_cis6_ortype"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Highly important objectives of organisational innovation"	"inn_cis6_orobj"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Implementation type of a new marketing method"	"inn_cis6_mktype"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Highly important objectives of marketing innovation"	"inn_cis6_mkobj"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Innovations with environmental benefits"	"inn_cis6_eco"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Motivation to introduce an environmental innovation"	"inn_cis6_ecomot"	"dataset"	"03.11.2010"	"24.11.2014"	"2008"	"2008"	
"                    Enterprises with procedures in place to regularly identify and reduce environmental impacts"	"inn_cis6_ecopro"	"dataset"	"21.12.2011"	"24.11.2014"	"2008"	"2008"	
"                Results of the community innovation survey 2010 (CIS2010)"	"inn_cis7"	"folder"	" "	" "	" "	" "	
"                    Basic economic information on the enterprises"	"inn_cis7_bas"	"dataset"	"30.04.2015"	"20.03.2015"	"2010"	"2010"	
"                    General information about the enterprises"	"inn_cis7_gen"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Enterprises by type of innovation"	"inn_cis7_type"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Product and process innovation"	"inn_cis7_prod"	"dataset"	"20.03.2015"	"20.03.2015"	"2010"	"2010"	
"                    Innovation activities and expenditures in 2010"	"inn_cis7_exp"	"dataset"	"20.03.2015"	"20.03.2015"	"2010"	"2010"	
"                    Public funding for innovation activities"	"inn_cis7_pub"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Highly important sources of information for product and process innovation"	"inn_cis7_sou"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Types of co-operation partner for product and process innovation"	"inn_cis7_coop"	"dataset"	"16.03.2015"	"16.03.2015"	"2010"	"2010"	
"                    Highly important objectives for product and process innovation"	"inn_cis7_obj"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Hampered innovation activities"	"inn_cis7_ham"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Organisational and marketing innovation"	"inn_cis7_mo"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Implementation type of a new organisational method"	"inn_cis7_ortype"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Highly important objectives for organisational innovation"	"inn_cis7_orobj"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Implementation type of a new marketing method"	"inn_cis7_mktype"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    Highly important objectives for marketing innovation"	"inn_cis7_mkobj"	"dataset"	"12.03.2014"	"24.11.2014"	"2010"	"2010"	
"                    In-house and external skills available in the enterprises"	"inn_cis7_csk"	"dataset"	"30.04.2015"	"30.04.2015"	"2010"	"2010"	
"                    Methods stimulating new ideas or creativity"	"inn_cis7_sucmet"	"dataset"	"11.03.2014"	"24.11.2014"	"2010"	"2010"	
"                Results of the community innovation survey 2012 (CIS2012)"	"inn_cis8"	"folder"	" "	" "	" "	" "	
"                    Basic economic information on the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_bas"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    General information on the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_gen"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Enterprises by main types of innovation, NACE Rev. 2 activity and size class"	"inn_cis8_type"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Enterprises by specific types of innovation, NACE Rev. 2 activity and size class"	"inn_cis8_spec"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Product and process innovative enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_prod"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Innovation activities and expenditures in 2012 in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_exp"	"dataset"	"12.07.2017"	"12.07.2017"	"2012"	"2012"	
"                    Public funding in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_pub"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Sources of information for enterprises - as highly important and not used - by NACE Rev. 2 activity and size class"	"inn_cis8_sou"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Types of co-operation of the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_coop"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Methods for maintaining or increasing the competitiveness in the enterprises - as highly important and not used - by NACE Rev. 2 activity and size class"	"inn_cis8_comp"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Organisational and marketing innovation in product and process innovative enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_mo"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Public sector procurement and innovation in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis8_proc"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Goals of innovative and non-innovative enterprises - as highly important and not relevant - by NACE Rev. 2 activity and size class"	"inn_cis8_goals"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Strategies of innovative and non-innovative enterprises - as highly important and not relevant - by NACE Rev. 2 activity and size class"	"inn_cis8_strat"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                    Obstacles of innovative and non-innovative enterprises - as highly important and not relevant - by NACE Rev. 2 activity and size class"	"inn_cis8_obst"	"dataset"	"07.07.2017"	"07.07.2017"	"2012"	"2012"	
"                Results of the community innovation survey 2014 (CIS2014)"	"inn_cis9"	"folder"	" "	" "	" "	" "	
"                    Basic economic information on the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_bas"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    General information on the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_gen"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Enterprises by main types of innovation, NACE Rev. 2 activity and size class"	"inn_cis9_type"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Enterprises by specific types of innovation, NACE Rev. 2 activity and size class"	"inn_cis9_spec"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Product and process innovative enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_prod"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Innovation activities and expenditures in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_exp"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Public funding in the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_pub"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Types of co-operation of the enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_coop"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
"                    Organisational and marketing innovation in product and process innovative enterprises by NACE Rev. 2 activity and size class"	"inn_cis9_mo"	"dataset"	"07.04.2017"	"07.04.2017"	"2014"	"2014"	
