y_grad,unit,isco88,geo,year,value
Total,Percentage,Professionals,Norway,2006 ,60.44
Total,Percentage,Professionals,Poland,2009 ,84.28
Total,Percentage,Professionals,Poland,2006 ,0
Total,Percentage,Professionals,Portugal,2009 ,0
Total,Percentage,Professionals,Portugal,2006 ,96.29
Total,Percentage,Professionals,Sweden,2009 ,0
Total,Percentage,Professionals,Sweden,2006 ,74.79
Total,Percentage,Professionals,United States,2009 ,0
Total,Percentage,Professionals,United States,2006 ,87.08
Total,Percentage,Physical, mathematical and engineering science professionals,Bulgaria,2009 ,4.17
Total,Percentage,Physical, mathematical and engineering science professionals,Bulgaria,2006 ,9.88
Total,Percentage,Physical, mathematical and engineering science professionals,Cyprus,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Cyprus,2006 ,8.68
Total,Percentage,Physical, mathematical and engineering science professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Germany (until 1990 former territory of the FRG),2006 ,17.94
Total,Percentage,Physical, mathematical and engineering science professionals,Denmark,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Denmark,2006 ,21.39
Total,Percentage,Physical, mathematical and engineering science professionals,Estonia,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Estonia,2006 ,21.66
Total,Percentage,Physical, mathematical and engineering science professionals,Croatia,2009 ,9.74
Total,Percentage,Physical, mathematical and engineering science professionals,Croatia,2006 ,7.94
Total,Percentage,Physical, mathematical and engineering science professionals,Iceland,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Iceland,2006 ,10.45
Total,Percentage,Physical, mathematical and engineering science professionals,Lithuania,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Lithuania,2006 ,22.87
Total,Percentage,Physical, mathematical and engineering science professionals,Latvia,2009 ,3.76
Total,Percentage,Physical, mathematical and engineering science professionals,Latvia,2006 ,8.23
Total,Percentage,Physical, mathematical and engineering science professionals,Netherlands,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Netherlands,2006 ,12.5
Total,Percentage,Physical, mathematical and engineering science professionals,Norway,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Norway,2006 ,16.18
Total,Percentage,Physical, mathematical and engineering science professionals,Poland,2009 ,22.06
Total,Percentage,Physical, mathematical and engineering science professionals,Poland,2006 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Portugal,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Portugal,2006 ,7.36
Total,Percentage,Physical, mathematical and engineering science professionals,Sweden,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,Sweden,2006 ,15.7
Total,Percentage,Physical, mathematical and engineering science professionals,United States,2009 ,0
Total,Percentage,Physical, mathematical and engineering science professionals,United States,2006 ,23.55
Total,Percentage,Physicists, chemists and related professionals,Bulgaria,2009 ,1.81
Total,Percentage,Physicists, chemists and related professionals,Bulgaria,2006 ,5.51
Total,Percentage,Physicists, chemists and related professionals,Cyprus,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Cyprus,2006 ,2.96
Total,Percentage,Physicists, chemists and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Germany (until 1990 former territory of the FRG),2006 ,6.12
Total,Percentage,Physicists, chemists and related professionals,Denmark,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Denmark,2006 ,9.48
Total,Percentage,Physicists, chemists and related professionals,Estonia,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Estonia,2006 ,16.82
Total,Percentage,Physicists, chemists and related professionals,Croatia,2009 ,6.47
Total,Percentage,Physicists, chemists and related professionals,Croatia,2006 ,6.21
Total,Percentage,Physicists, chemists and related professionals,Iceland,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Iceland,2006 ,3.59
Total,Percentage,Physicists, chemists and related professionals,Lithuania,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Lithuania,2006 ,14.04
Total,Percentage,Physicists, chemists and related professionals,Latvia,2009 ,1.23
Total,Percentage,Physicists, chemists and related professionals,Latvia,2006 ,3.87
Total,Percentage,Physicists, chemists and related professionals,Norway,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Norway,2006 ,1.92
Total,Percentage,Physicists, chemists and related professionals,Poland,2009 ,10.74
Total,Percentage,Physicists, chemists and related professionals,Poland,2006 ,0
Total,Percentage,Physicists, chemists and related professionals,Portugal,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Portugal,2006 ,5.62
Total,Percentage,Physicists, chemists and related professionals,Sweden,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,Sweden,2006 ,5.95
Total,Percentage,Physicists, chemists and related professionals,United States,2009 ,0
Total,Percentage,Physicists, chemists and related professionals,United States,2006 ,7.73
Total,Percentage,Mathematicians, statisticians and related professionals,Bulgaria,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Bulgaria,2006 ,0.33
Total,Percentage,Mathematicians, statisticians and related professionals,Cyprus,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Cyprus,2006 ,0.79
Total,Percentage,Mathematicians, statisticians and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Germany (until 1990 former territory of the FRG),2006 ,0.57
Total,Percentage,Mathematicians, statisticians and related professionals,Denmark,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Denmark,2006 ,2.83
Total,Percentage,Mathematicians, statisticians and related professionals,Estonia,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Estonia,2006 ,1.41u
Total,Percentage,Mathematicians, statisticians and related professionals,Iceland,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Iceland,2006 ,1.39
Total,Percentage,Mathematicians, statisticians and related professionals,Lithuania,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Lithuania,2006 ,2.73
Total,Percentage,Mathematicians, statisticians and related professionals,Latvia,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Latvia,2006 ,1.22
Total,Percentage,Mathematicians, statisticians and related professionals,Norway,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Norway,2006 ,0.2
Total,Percentage,Mathematicians, statisticians and related professionals,Poland,2009 ,1.75
Total,Percentage,Mathematicians, statisticians and related professionals,Poland,2006 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Portugal,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Portugal,2006 ,0.3
Total,Percentage,Mathematicians, statisticians and related professionals,Sweden,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,Sweden,2006 ,0.5
Total,Percentage,Mathematicians, statisticians and related professionals,United States,2009 ,0
Total,Percentage,Mathematicians, statisticians and related professionals,United States,2006 ,1.6
Total,Percentage,Computing professionals,Bulgaria,2009 ,0.37
Total,Percentage,Computing professionals,Bulgaria,2006 ,0.44
Total,Percentage,Computing professionals,Cyprus,2009 ,0
Total,Percentage,Computing professionals,Cyprus,2006 ,0.99
Total,Percentage,Computing professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Computing professionals,Germany (until 1990 former territory of the FRG),2006 ,1.67
Total,Percentage,Computing professionals,Denmark,2009 ,0
Total,Percentage,Computing professionals,Denmark,2006 ,3.27
Total,Percentage,Computing professionals,Estonia,2009 ,0
Total,Percentage,Computing professionals,Estonia,2006 ,0.61u
Total,Percentage,Computing professionals,Croatia,2009 ,0.27
Total,Percentage,Computing professionals,Croatia,2006 ,0.19
Total,Percentage,Computing professionals,Iceland,2009 ,0
Total,Percentage,Computing professionals,Iceland,2006 ,1.31
Total,Percentage,Computing professionals,Lithuania,2009 ,0
Total,Percentage,Computing professionals,Lithuania,2006 ,2.57
Total,Percentage,Computing professionals,Latvia,2009 ,1.14
Total,Percentage,Computing professionals,Latvia,2006 ,0.64
Total,Percentage,Computing professionals,Norway,2009 ,0
Total,Percentage,Computing professionals,Norway,2006 ,1.12
Total,Percentage,Computing professionals,Poland,2009 ,1.84
Total,Percentage,Computing professionals,Poland,2006 ,0
Total,Percentage,Computing professionals,Portugal,2009 ,0
Total,Percentage,Computing professionals,Portugal,2006 ,0.25
Total,Percentage,Computing professionals,Sweden,2009 ,0
Total,Percentage,Computing professionals,Sweden,2006 ,1.95
Total,Percentage,Computing professionals,United States,2009 ,0
Total,Percentage,Computing professionals,United States,2006 ,4.28
Total,Percentage,Architects, engineers and related professionals,Bulgaria,2009 ,1.98
Total,Percentage,Architects, engineers and related professionals,Bulgaria,2006 ,3.61
Total,Percentage,Architects, engineers and related professionals,Cyprus,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Cyprus,2006 ,3.94
Total,Percentage,Architects, engineers and related professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Architects, engineers and related professionals,Germany (until 1990 former territory of the FRG),2006 ,9.58
Total,Percentage,Architects, engineers and related professionals,Denmark,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Denmark,2006 ,5.81
Total,Percentage,Architects, engineers and related professionals,Estonia,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Estonia,2006 ,2.86u
Total,Percentage,Architects, engineers and related professionals,Croatia,2009 ,2.98
Total,Percentage,Architects, engineers and related professionals,Croatia,2006 ,1.54
Total,Percentage,Architects, engineers and related professionals,Iceland,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Iceland,2006 ,2.37
Total,Percentage,Architects, engineers and related professionals,Lithuania,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Lithuania,2006 ,3.53
Total,Percentage,Architects, engineers and related professionals,Latvia,2009 ,1.39
Total,Percentage,Architects, engineers and related professionals,Latvia,2006 ,2.5
Total,Percentage,Architects, engineers and related professionals,Norway,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Norway,2006 ,12.95
Total,Percentage,Architects, engineers and related professionals,Poland,2009 ,7.74
Total,Percentage,Architects, engineers and related professionals,Poland,2006 ,0
Total,Percentage,Architects, engineers and related professionals,Portugal,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Portugal,2006 ,1.2
Total,Percentage,Architects, engineers and related professionals,Sweden,2009 ,0
Total,Percentage,Architects, engineers and related professionals,Sweden,2006 ,7.3
Total,Percentage,Architects, engineers and related professionals,United States,2009 ,0
Total,Percentage,Architects, engineers and related professionals,United States,2006 ,9.95
Total,Percentage,Life science and health professionals,Bulgaria,2009 ,3.57
Total,Percentage,Life science and health professionals,Bulgaria,2006 ,6.37
Total,Percentage,Life science and health professionals,Cyprus,2009 ,0
Total,Percentage,Life science and health professionals,Cyprus,2006 ,19.13
Total,Percentage,Life science and health professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Life science and health professionals,Germany (until 1990 former territory of the FRG),2006 ,40.35
Total,Percentage,Life science and health professionals,Denmark,2009 ,0
Total,Percentage,Life science and health professionals,Denmark,2006 ,33.11
Total,Percentage,Life science and health professionals,Estonia,2009 ,0
Total,Percentage,Life science and health professionals,Estonia,2006 ,20.65
Total,Percentage,Life science and health professionals,Croatia,2009 ,20.11
Total,Percentage,Life science and health professionals,Croatia,2006 ,18.55
Total,Percentage,Life science and health professionals,Iceland,2009 ,0
Total,Percentage,Life science and health professionals,Iceland,2006 ,27.67
Total,Percentage,Life science and health professionals,Lithuania,2009 ,0
Total,Percentage,Life science and health professionals,Lithuania,2006 ,18.91
Total,Percentage,Life science and health professionals,Latvia,2009 ,4.18
Total,Percentage,Life science and health professionals,Latvia,2006 ,5.55
Total,Percentage,Life science and health professionals,Netherlands,2009 ,0
Total,Percentage,Life science and health professionals,Netherlands,2006 ,26.56
Total,Percentage,Life science and health professionals,Norway,2009 ,0
Total,Percentage,Life science and health professionals,Norway,2006 ,3.96
Total,Percentage,Life science and health professionals,Poland,2009 ,16.92
Total,Percentage,Life science and health professionals,Poland,2006 ,0
Total,Percentage,Life science and health professionals,Portugal,2009 ,0
Total,Percentage,Life science and health professionals,Portugal,2006 ,7.65
Total,Percentage,Life science and health professionals,Sweden,2009 ,0
Total,Percentage,Life science and health professionals,Sweden,2006 ,17.57
Total,Percentage,Life science and health professionals,United States,2009 ,0
Total,Percentage,Life science and health professionals,United States,2006 ,17.24
Total,Percentage,Life science professionals,Bulgaria,2009 ,1.09
Total,Percentage,Life science professionals,Bulgaria,2006 ,2.43
Total,Percentage,Life science professionals,Cyprus,2009 ,0
Total,Percentage,Life science professionals,Cyprus,2006 ,3.75
Total,Percentage,Life science professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Life science professionals,Germany (until 1990 former territory of the FRG),2006 ,2.67
Total,Percentage,Life science professionals,Denmark,2009 ,0
Total,Percentage,Life science professionals,Denmark,2006 ,12.05
Total,Percentage,Life science professionals,Estonia,2009 ,0
Total,Percentage,Life science professionals,Estonia,2006 ,15.77
Total,Percentage,Life science professionals,Croatia,2009 ,5.58
Total,Percentage,Life science professionals,Croatia,2006 ,3.75
Total,Percentage,Life science professionals,Iceland,2009 ,0
Total,Percentage,Life science professionals,Iceland,2006 ,8.57
Total,Percentage,Life science professionals,Lithuania,2009 ,0
Total,Percentage,Life science professionals,Lithuania,2006 ,8.93
Total,Percentage,Life science professionals,Latvia,2009 ,0.71
Total,Percentage,Life science professionals,Latvia,2006 ,1.69
Total,Percentage,Life science professionals,Norway,2009 ,0
Total,Percentage,Life science professionals,Norway,2006 ,1.92
Total,Percentage,Life science professionals,Poland,2009 ,10.26
Total,Percentage,Life science professionals,Poland,2006 ,0
Total,Percentage,Life science professionals,Portugal,2009 ,0
Total,Percentage,Life science professionals,Portugal,2006 ,4.26
Total,Percentage,Life science professionals,Sweden,2009 ,0
Total,Percentage,Life science professionals,Sweden,2006 ,2.06
Total,Percentage,Life science professionals,United States,2009 ,0
Total,Percentage,Life science professionals,United States,2006 ,14.07
Total,Percentage,Health professionals (except nursing),Bulgaria,2009 ,2.48
Total,Percentage,Health professionals (except nursing),Bulgaria,2006 ,3.93
Total,Percentage,Health professionals (except nursing),Cyprus,2009 ,0
Total,Percentage,Health professionals (except nursing),Cyprus,2006 ,15.38
Total,Percentage,Health professionals (except nursing),Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Health professionals (except nursing),Germany (until 1990 former territory of the FRG),2006 ,37.69
Total,Percentage,Health professionals (except nursing),Denmark,2009 ,0
Total,Percentage,Health professionals (except nursing),Denmark,2006 ,20.92
Total,Percentage,Health professionals (except nursing),Estonia,2009 ,0
Total,Percentage,Health professionals (except nursing),Estonia,2006 ,4.88u
Total,Percentage,Health professionals (except nursing),Croatia,2009 ,14.54
Total,Percentage,Health professionals (except nursing),Croatia,2006 ,14.78
Total,Percentage,Health professionals (except nursing),Iceland,2009 ,0
Total,Percentage,Health professionals (except nursing),Iceland,2006 ,9.96
Total,Percentage,Health professionals (except nursing),Lithuania,2009 ,0
Total,Percentage,Health professionals (except nursing),Lithuania,2006 ,9.98
Total,Percentage,Health professionals (except nursing),Latvia,2009 ,3.47
Total,Percentage,Health professionals (except nursing),Latvia,2006 ,3.72
Total,Percentage,Health professionals (except nursing),Norway,2009 ,0
Total,Percentage,Health professionals (except nursing),Norway,2006 ,2.05
Total,Percentage,Health professionals (except nursing),Poland,2009 ,6.47
Total,Percentage,Health professionals (except nursing),Poland,2006 ,0
Total,Percentage,Health professionals (except nursing),Portugal,2009 ,0
Total,Percentage,Health professionals (except nursing),Portugal,2006 ,3.34
Total,Percentage,Health professionals (except nursing),Sweden,2009 ,0
Total,Percentage,Health professionals (except nursing),Sweden,2006 ,15.35
Total,Percentage,Health professionals (except nursing),United States,2009 ,0
Total,Percentage,Health professionals (except nursing),United States,2006 ,2.61
Total,Percentage,Nursing and midwifery professionals,Bulgaria,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Bulgaria,2006 ,0
Total,Percentage,Nursing and midwifery professionals,Cyprus,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Cyprus,2006 ,0
Total,Percentage,Nursing and midwifery professionals,Denmark,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Denmark,2006 ,0.13
Total,Percentage,Nursing and midwifery professionals,Estonia,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Estonia,2006 ,0u
Total,Percentage,Nursing and midwifery professionals,Iceland,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Iceland,2006 ,0.73
Total,Percentage,Nursing and midwifery professionals,Lithuania,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Lithuania,2006 ,0
Total,Percentage,Nursing and midwifery professionals,Latvia,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Latvia,2006 ,0.15
Total,Percentage,Nursing and midwifery professionals,Norway,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Norway,2006 ,0
Total,Percentage,Nursing and midwifery professionals,Poland,2009 ,0.2
Total,Percentage,Nursing and midwifery professionals,Poland,2006 ,0
Total,Percentage,Nursing and midwifery professionals,Portugal,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Portugal,2006 ,0.05
Total,Percentage,Nursing and midwifery professionals,Sweden,2009 ,0
Total,Percentage,Nursing and midwifery professionals,Sweden,2006 ,0.16
Total,Percentage,Nursing and midwifery professionals,United States,2009 ,0
Total,Percentage,Nursing and midwifery professionals,United States,2006 ,0.56
Total,Percentage,Teaching professionals,Bulgaria,2009 ,58.44
Total,Percentage,Teaching professionals,Bulgaria,2006 ,45.15
Total,Percentage,Teaching professionals,Cyprus,2009 ,0
Total,Percentage,Teaching professionals,Cyprus,2006 ,42.41
Total,Percentage,Teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,11.17
Total,Percentage,Teaching professionals,Denmark,2009 ,0
Total,Percentage,Teaching professionals,Denmark,2006 ,23.38
Total,Percentage,Teaching professionals,Estonia,2009 ,0
Total,Percentage,Teaching professionals,Estonia,2006 ,33.2
Total,Percentage,Teaching professionals,Croatia,2009 ,54.99
Total,Percentage,Teaching professionals,Croatia,2006 ,61.17
Total,Percentage,Teaching professionals,Iceland,2009 ,0
Total,Percentage,Teaching professionals,Iceland,2006 ,35.35
Total,Percentage,Teaching professionals,Lithuania,2009 ,0
Total,Percentage,Teaching professionals,Lithuania,2006 ,42.84
Total,Percentage,Teaching professionals,Latvia,2009 ,43.46
Total,Percentage,Teaching professionals,Latvia,2006 ,48.37
Total,Percentage,Teaching professionals,Netherlands,2009 ,0
Total,Percentage,Teaching professionals,Netherlands,2006 ,17.19
Total,Percentage,Teaching professionals,Norway,2009 ,0
Total,Percentage,Teaching professionals,Norway,2006 ,37.38
Total,Percentage,Teaching professionals,Poland,2009 ,37.61
Total,Percentage,Teaching professionals,Poland,2006 ,0
Total,Percentage,Teaching professionals,Portugal,2009 ,0
Total,Percentage,Teaching professionals,Portugal,2006 ,79.8
Total,Percentage,Teaching professionals,Sweden,2009 ,0
Total,Percentage,Teaching professionals,Sweden,2006 ,35.97
Total,Percentage,Teaching professionals,United States,2009 ,0
Total,Percentage,Teaching professionals,United States,2006 ,29.08
Total,Percentage,College, university and higher education teaching professionals,Bulgaria,2009 ,57.77
Total,Percentage,College, university and higher education teaching professionals,Bulgaria,2006 ,43.49
Total,Percentage,College, university and higher education teaching professionals,Cyprus,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Cyprus,2006 ,35.7
Total,Percentage,College, university and higher education teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,7.82
Total,Percentage,College, university and higher education teaching professionals,Denmark,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Denmark,2006 ,20.97
Total,Percentage,College, university and higher education teaching professionals,Estonia,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Estonia,2006 ,32.84
Total,Percentage,College, university and higher education teaching professionals,Croatia,2009 ,54.88
Total,Percentage,College, university and higher education teaching professionals,Croatia,2006 ,60.64
Total,Percentage,College, university and higher education teaching professionals,Iceland,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Iceland,2006 ,34.2
Total,Percentage,College, university and higher education teaching professionals,Lithuania,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Lithuania,2006 ,41.01
Total,Percentage,College, university and higher education teaching professionals,Latvia,2009 ,42.13
Total,Percentage,College, university and higher education teaching professionals,Latvia,2006 ,45.9
Total,Percentage,College, university and higher education teaching professionals,Norway,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Norway,2006 ,37.38
Total,Percentage,College, university and higher education teaching professionals,Poland,2009 ,35.79
Total,Percentage,College, university and higher education teaching professionals,Poland,2006 ,0
Total,Percentage,College, university and higher education teaching professionals,Portugal,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Portugal,2006 ,78.22
Total,Percentage,College, university and higher education teaching professionals,Sweden,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,Sweden,2006 ,33.15
Total,Percentage,College, university and higher education teaching professionals,United States,2009 ,0
Total,Percentage,College, university and higher education teaching professionals,United States,2006 ,28.12
Total,Percentage,Secondary education teaching professionals,Bulgaria,2009 ,0.61
Total,Percentage,Secondary education teaching professionals,Bulgaria,2006 ,1.51
Total,Percentage,Secondary education teaching professionals,Cyprus,2009 ,0
Total,Percentage,Secondary education teaching professionals,Cyprus,2006 ,5.13
Total,Percentage,Secondary education teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Secondary education teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,2.6
Total,Percentage,Secondary education teaching professionals,Denmark,2009 ,0
Total,Percentage,Secondary education teaching professionals,Denmark,2006 ,1.61
Total,Percentage,Secondary education teaching professionals,Estonia,2009 ,0
Total,Percentage,Secondary education teaching professionals,Estonia,2006 ,0.29u
Total,Percentage,Secondary education teaching professionals,Croatia,2009 ,0.1
Total,Percentage,Secondary education teaching professionals,Croatia,2006 ,0.3
Total,Percentage,Secondary education teaching professionals,Iceland,2009 ,0
Total,Percentage,Secondary education teaching professionals,Iceland,2006 ,0.9
Total,Percentage,Secondary education teaching professionals,Lithuania,2009 ,0
Total,Percentage,Secondary education teaching professionals,Lithuania,2006 ,0.1
Total,Percentage,Secondary education teaching professionals,Latvia,2009 ,0.81
Total,Percentage,Secondary education teaching professionals,Latvia,2006 ,1.57
Total,Percentage,Secondary education teaching professionals,Norway,2009 ,0
Total,Percentage,Secondary education teaching professionals,Norway,2006 ,0
Total,Percentage,Secondary education teaching professionals,Poland,2009 ,1.26
Total,Percentage,Secondary education teaching professionals,Poland,2006 ,0
Total,Percentage,Secondary education teaching professionals,Portugal,2009 ,0
Total,Percentage,Secondary education teaching professionals,Portugal,2006 ,1.05
Total,Percentage,Secondary education teaching professionals,Sweden,2009 ,0
Total,Percentage,Secondary education teaching professionals,Sweden,2006 ,1.73
Total,Percentage,Secondary education teaching professionals,United States,2009 ,0
Total,Percentage,Secondary education teaching professionals,United States,2006 ,0.59
Total,Percentage,Other teaching professionals,Bulgaria,2009 ,0.06
Total,Percentage,Other teaching professionals,Bulgaria,2006 ,0.16
Total,Percentage,Other teaching professionals,Cyprus,2009 ,0
Total,Percentage,Other teaching professionals,Cyprus,2006 ,1.58
Total,Percentage,Other teaching professionals,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Percentage,Other teaching professionals,Germany (until 1990 former territory of the FRG),2006 ,0.75
Total,Percentage,Other teaching professionals,Denmark,2009 ,0
Total,Percentage,Other teaching professionals,Denmark,2006 ,0.8
Total,Percentage,Other teaching professionals,Estonia,2009 ,0
Total,Percentage,Other teaching professionals,Estonia,2006 ,0.07u
Total,Percentage,Other teaching professionals,Croatia,2009 ,0.03
Total,Percentage,Other teaching professionals,Croatia,2006 ,0.25
Total,Percentage,Other teaching professionals,Iceland,2009 ,0
Total,Percentage,Other teaching professionals,Iceland,2006 ,0.24
Total,Percentage,Other teaching professionals,Lithuania,2009 ,0
Total,Percentage,Other teaching professionals,Lithuania,2006 ,1.74
Total,Percentage,Other teaching professionals,Latvia,2009 ,0.52
Total,Percentage,Other teaching professionals,Latvia,2006 ,0.9
Total,Percentage,Other teaching professionals,Norway,2009 ,0
Total,Percentage,Other teaching professionals,Norway,2006 ,0
Total,Percentage,Other teaching professionals,Poland,2009 ,0.57
Total,Percentage,Other teaching professionals,Poland,2006 ,0
Total,Percentage,Other teaching professionals,Portugal,2009 ,0
