y_grad,fos07,unit,geo,year,value
Total,Humanities,Percentage,Slovenia,2006 ,0
Total,Humanities,Percentage,Turkey,2009 ,2.59
Total,Humanities,Percentage,Turkey,2006 ,0
Total,Not specified,Percentage,Germany (until 1990 former territory of the FRG),2009 ,0
Total,Not specified,Percentage,Germany (until 1990 former territory of the FRG),2006 ,3.25
Total,Not specified,Percentage,Finland,2009 ,1.07
Total,Not specified,Percentage,Finland,2006 ,0
Total,Not specified,Percentage,Hungary,2009 ,6.67
Total,Not specified,Percentage,Hungary,2006 ,0
Total,Not specified,Percentage,Norway,2009 ,14.86
Total,Not specified,Percentage,Norway,2006 ,0
Total,Not specified,Percentage,Sweden,2009 ,0
Total,Not specified,Percentage,Sweden,2006 ,31.42
Total,Not specified,Percentage,Slovenia,2009 ,0
Total,Not specified,Percentage,Slovenia,2006 ,0
1990 and after,Natural sciences,Percentage,Austria,2009 ,0
1990 and after,Natural sciences,Percentage,Austria,2006 ,34.51
1990 and after,Natural sciences,Percentage,Belgium,2009 ,31.88
1990 and after,Natural sciences,Percentage,Belgium,2006 ,0
1990 and after,Natural sciences,Percentage,Bulgaria,2009 ,0
1990 and after,Natural sciences,Percentage,Bulgaria,2006 ,15.85
1990 and after,Natural sciences,Percentage,Cyprus,2009 ,0
1990 and after,Natural sciences,Percentage,Cyprus,2006 ,50.00
1990 and after,Natural sciences,Percentage,Germany (until 1990 former territory of the FRG),2009 ,23.12
1990 and after,Natural sciences,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Natural sciences,Percentage,Denmark,2009 ,20.63
1990 and after,Natural sciences,Percentage,Denmark,2006 ,26.8
1990 and after,Natural sciences,Percentage,Estonia,2009 ,0
1990 and after,Natural sciences,Percentage,Estonia,2006 ,33.33
1990 and after,Natural sciences,Percentage,Spain,2009 ,44.81
1990 and after,Natural sciences,Percentage,Spain,2006 ,45.75
1990 and after,Natural sciences,Percentage,Finland,2009 ,33.33
1990 and after,Natural sciences,Percentage,Finland,2006 ,0
1990 and after,Natural sciences,Percentage,Italy,2009 ,0
1990 and after,Natural sciences,Percentage,Italy,2006 ,29.18
1990 and after,Natural sciences,Percentage,Lithuania,2009 ,17.65
1990 and after,Natural sciences,Percentage,Lithuania,2006 ,28.57
1990 and after,Natural sciences,Percentage,Latvia,2009 ,34.29
1990 and after,Natural sciences,Percentage,Latvia,2006 ,0.0
1990 and after,Natural sciences,Percentage,Malta,2009 ,32.79
1990 and after,Natural sciences,Percentage,Malta,2006 ,0
1990 and after,Natural sciences,Percentage,Netherlands,2009 ,33.33
1990 and after,Natural sciences,Percentage,Netherlands,2006 ,0
1990 and after,Natural sciences,Percentage,Portugal,2009 ,0
1990 and after,Natural sciences,Percentage,Portugal,2006 ,38.60
1990 and after,Natural sciences,Percentage,Slovenia,2009 ,40.00u
1990 and after,Natural sciences,Percentage,Slovenia,2006 ,0
1990 and after,Natural sciences,Percentage,United States,2009 ,50.00
1990 and after,Natural sciences,Percentage,United States,2006 ,46.34
1990 and after,Engineering and technology,Percentage,Austria,2009 ,0
1990 and after,Engineering and technology,Percentage,Austria,2006 ,4.38
1990 and after,Engineering and technology,Percentage,Belgium,2009 ,11.59
1990 and after,Engineering and technology,Percentage,Belgium,2006 ,0
1990 and after,Engineering and technology,Percentage,Bulgaria,2009 ,0
1990 and after,Engineering and technology,Percentage,Bulgaria,2006 ,37.80
1990 and after,Engineering and technology,Percentage,Cyprus,2009 ,0
1990 and after,Engineering and technology,Percentage,Cyprus,2006 ,0.00
1990 and after,Engineering and technology,Percentage,Germany (until 1990 former territory of the FRG),2009 ,1.84
1990 and after,Engineering and technology,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Engineering and technology,Percentage,Denmark,2009 ,4.76
1990 and after,Engineering and technology,Percentage,Denmark,2006 ,10.8
1990 and after,Engineering and technology,Percentage,Estonia,2009 ,0
1990 and after,Engineering and technology,Percentage,Estonia,2006 ,0.00
1990 and after,Engineering and technology,Percentage,Spain,2009 ,5.80
1990 and after,Engineering and technology,Percentage,Spain,2006 ,5.00
1990 and after,Engineering and technology,Percentage,Finland,2009 ,10.94
1990 and after,Engineering and technology,Percentage,Finland,2006 ,0
1990 and after,Engineering and technology,Percentage,Italy,2009 ,0
1990 and after,Engineering and technology,Percentage,Italy,2006 ,21.30
1990 and after,Engineering and technology,Percentage,Lithuania,2009 ,14.71
1990 and after,Engineering and technology,Percentage,Lithuania,2006 ,0.00
1990 and after,Engineering and technology,Percentage,Latvia,2009 ,0.00
1990 and after,Engineering and technology,Percentage,Latvia,2006 ,0.0
1990 and after,Engineering and technology,Percentage,Malta,2009 ,32.79
1990 and after,Engineering and technology,Percentage,Malta,2006 ,0
1990 and after,Engineering and technology,Percentage,Netherlands,2009 ,16.67
1990 and after,Engineering and technology,Percentage,Netherlands,2006 ,0
1990 and after,Engineering and technology,Percentage,Portugal,2009 ,0
1990 and after,Engineering and technology,Percentage,Portugal,2006 ,0
1990 and after,Engineering and technology,Percentage,Slovenia,2009 ,20.00u
1990 and after,Engineering and technology,Percentage,Slovenia,2006 ,0
1990 and after,Engineering and technology,Percentage,United States,2009 ,18.97
1990 and after,Engineering and technology,Percentage,United States,2006 ,17.07
1990 and after,Medical and health sciences,Percentage,Austria,2009 ,0
1990 and after,Medical and health sciences,Percentage,Austria,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Belgium,2009 ,7.25
1990 and after,Medical and health sciences,Percentage,Belgium,2006 ,0
1990 and after,Medical and health sciences,Percentage,Bulgaria,2009 ,0
1990 and after,Medical and health sciences,Percentage,Bulgaria,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Cyprus,2009 ,0
1990 and after,Medical and health sciences,Percentage,Cyprus,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Germany (until 1990 former territory of the FRG),2009 ,18.99
1990 and after,Medical and health sciences,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Medical and health sciences,Percentage,Denmark,2009 ,19.05
1990 and after,Medical and health sciences,Percentage,Denmark,2006 ,5.2
1990 and after,Medical and health sciences,Percentage,Estonia,2009 ,0
1990 and after,Medical and health sciences,Percentage,Estonia,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Spain,2009 ,12.25
1990 and after,Medical and health sciences,Percentage,Spain,2006 ,14.06
1990 and after,Medical and health sciences,Percentage,Finland,2009 ,11.70
1990 and after,Medical and health sciences,Percentage,Finland,2006 ,0
1990 and after,Medical and health sciences,Percentage,Italy,2009 ,0
1990 and after,Medical and health sciences,Percentage,Italy,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Lithuania,2009 ,23.53
1990 and after,Medical and health sciences,Percentage,Lithuania,2006 ,0.00
1990 and after,Medical and health sciences,Percentage,Latvia,2009 ,17.14
1990 and after,Medical and health sciences,Percentage,Latvia,2006 ,0.0
1990 and after,Medical and health sciences,Percentage,Malta,2009 ,34.43
1990 and after,Medical and health sciences,Percentage,Malta,2006 ,0
1990 and after,Medical and health sciences,Percentage,Netherlands,2009 ,16.67
1990 and after,Medical and health sciences,Percentage,Netherlands,2006 ,0
1990 and after,Medical and health sciences,Percentage,Portugal,2009 ,0
1990 and after,Medical and health sciences,Percentage,Portugal,2006 ,10.53
1990 and after,Medical and health sciences,Percentage,Slovenia,2009 ,0.00
1990 and after,Medical and health sciences,Percentage,Slovenia,2006 ,0
1990 and after,Medical and health sciences,Percentage,United States,2009 ,8.62
1990 and after,Medical and health sciences,Percentage,United States,2006 ,9.76
1990 and after,Agricultural sciences,Percentage,Austria,2009 ,0
1990 and after,Agricultural sciences,Percentage,Austria,2006 ,5.89
1990 and after,Agricultural sciences,Percentage,Belgium,2009 ,2.90
1990 and after,Agricultural sciences,Percentage,Belgium,2006 ,0
1990 and after,Agricultural sciences,Percentage,Bulgaria,2009 ,0
1990 and after,Agricultural sciences,Percentage,Bulgaria,2006 ,13.41
1990 and after,Agricultural sciences,Percentage,Cyprus,2009 ,0
1990 and after,Agricultural sciences,Percentage,Cyprus,2006 ,0.00
1990 and after,Agricultural sciences,Percentage,Germany (until 1990 former territory of the FRG),2009 ,8.27
1990 and after,Agricultural sciences,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Agricultural sciences,Percentage,Denmark,2009 ,20.63
1990 and after,Agricultural sciences,Percentage,Denmark,2006 ,10.4
1990 and after,Agricultural sciences,Percentage,Estonia,2009 ,0
1990 and after,Agricultural sciences,Percentage,Estonia,2006 ,0.00
1990 and after,Agricultural sciences,Percentage,Spain,2009 ,6.67
1990 and after,Agricultural sciences,Percentage,Spain,2006 ,4.13
1990 and after,Agricultural sciences,Percentage,Finland,2009 ,5.09
1990 and after,Agricultural sciences,Percentage,Finland,2006 ,0
1990 and after,Agricultural sciences,Percentage,Italy,2009 ,0
1990 and after,Agricultural sciences,Percentage,Italy,2006 ,4.77
1990 and after,Agricultural sciences,Percentage,Lithuania,2009 ,0.00
1990 and after,Agricultural sciences,Percentage,Lithuania,2006 ,10.71
1990 and after,Agricultural sciences,Percentage,Latvia,2009 ,8.57
1990 and after,Agricultural sciences,Percentage,Latvia,2006 ,0.0
1990 and after,Agricultural sciences,Percentage,Malta,2009 ,0.00
1990 and after,Agricultural sciences,Percentage,Malta,2006 ,0
1990 and after,Agricultural sciences,Percentage,Netherlands,2009 ,0.00
1990 and after,Agricultural sciences,Percentage,Netherlands,2006 ,0
1990 and after,Agricultural sciences,Percentage,Portugal,2009 ,0
1990 and after,Agricultural sciences,Percentage,Portugal,2006 ,0
1990 and after,Agricultural sciences,Percentage,Slovenia,2009 ,15.38
1990 and after,Agricultural sciences,Percentage,Slovenia,2006 ,0
1990 and after,Agricultural sciences,Percentage,United States,2009 ,3.45
1990 and after,Agricultural sciences,Percentage,United States,2006 ,2.44
1990 and after,Social sciences,Percentage,Austria,2009 ,0
1990 and after,Social sciences,Percentage,Austria,2006 ,35.35
1990 and after,Social sciences,Percentage,Belgium,2009 ,15.94
1990 and after,Social sciences,Percentage,Belgium,2006 ,0
1990 and after,Social sciences,Percentage,Bulgaria,2009 ,0
1990 and after,Social sciences,Percentage,Bulgaria,2006 ,10.98
1990 and after,Social sciences,Percentage,Cyprus,2009 ,0
1990 and after,Social sciences,Percentage,Cyprus,2006 ,0.00
1990 and after,Social sciences,Percentage,Germany (until 1990 former territory of the FRG),2009 ,17.76
1990 and after,Social sciences,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Social sciences,Percentage,Denmark,2009 ,7.94
1990 and after,Social sciences,Percentage,Denmark,2006 ,12.6
1990 and after,Social sciences,Percentage,Estonia,2009 ,0
1990 and after,Social sciences,Percentage,Estonia,2006 ,33.33
1990 and after,Social sciences,Percentage,Spain,2009 ,13.35
1990 and after,Social sciences,Percentage,Spain,2006 ,11.38
1990 and after,Social sciences,Percentage,Finland,2009 ,21.12
1990 and after,Social sciences,Percentage,Finland,2006 ,0
1990 and after,Social sciences,Percentage,Italy,2009 ,0
1990 and after,Social sciences,Percentage,Italy,2006 ,36.19
1990 and after,Social sciences,Percentage,Lithuania,2009 ,17.65
1990 and after,Social sciences,Percentage,Lithuania,2006 ,28.57
1990 and after,Social sciences,Percentage,Latvia,2009 ,8.57
1990 and after,Social sciences,Percentage,Latvia,2006 ,0.0
1990 and after,Social sciences,Percentage,Malta,2009 ,0.00
1990 and after,Social sciences,Percentage,Malta,2006 ,0
1990 and after,Social sciences,Percentage,Netherlands,2009 ,16.67
1990 and after,Social sciences,Percentage,Netherlands,2006 ,0
1990 and after,Social sciences,Percentage,Portugal,2009 ,0
1990 and after,Social sciences,Percentage,Portugal,2006 ,10.53
1990 and after,Social sciences,Percentage,Slovenia,2009 ,0.00
1990 and after,Social sciences,Percentage,Slovenia,2006 ,0
1990 and after,Social sciences,Percentage,United States,2009 ,18.97
1990 and after,Social sciences,Percentage,United States,2006 ,19.51
1990 and after,Humanities,Percentage,Austria,2009 ,0
1990 and after,Humanities,Percentage,Austria,2006 ,19.87
1990 and after,Humanities,Percentage,Belgium,2009 ,24.64
1990 and after,Humanities,Percentage,Belgium,2006 ,0
1990 and after,Humanities,Percentage,Bulgaria,2009 ,0
1990 and after,Humanities,Percentage,Bulgaria,2006 ,21.95
1990 and after,Humanities,Percentage,Cyprus,2009 ,0
1990 and after,Humanities,Percentage,Cyprus,2006 ,50.00
1990 and after,Humanities,Percentage,Germany (until 1990 former territory of the FRG),2009 ,30.02
1990 and after,Humanities,Percentage,Germany (until 1990 former territory of the FRG),2006 ,0
1990 and after,Humanities,Percentage,Denmark,2009 ,26.98
1990 and after,Humanities,Percentage,Denmark,2006 ,34.2
1990 and after,Humanities,Percentage,Estonia,2009 ,0
1990 and after,Humanities,Percentage,Estonia,2006 ,33.33
1990 and after,Humanities,Percentage,Spain,2009 ,17.12
1990 and after,Humanities,Percentage,Spain,2006 ,19.69
1990 and after,Humanities,Percentage,Finland,2009 ,17.81
1990 and after,Humanities,Percentage,Finland,2006 ,0
1990 and after,Humanities,Percentage,Italy,2009 ,0
1990 and after,Humanities,Percentage,Italy,2006 ,8.56
1990 and after,Humanities,Percentage,Lithuania,2009 ,26.47
1990 and after,Humanities,Percentage,Lithuania,2006 ,32.14
1990 and after,Humanities,Percentage,Latvia,2009 ,31.43
1990 and after,Humanities,Percentage,Latvia,2006 ,0.0
1990 and after,Humanities,Percentage,Malta,2009 ,0.00
1990 and after,Humanities,Percentage,Malta,2006 ,0
1990 and after,Humanities,Percentage,Netherlands,2009 ,16.67
1990 and after,Humanities,Percentage,Netherlands,2006 ,0
1990 and after,Humanities,Percentage,Portugal,2009 ,0
1990 and after,Humanities,Percentage,Portugal,2006 ,29.82
1990 and after,Humanities,Percentage,Slovenia,2009 ,24.62u
1990 and after,Humanities,Percentage,Slovenia,2006 ,0
1990 and after,Humanities,Percentage,United States,2009 ,0.0
1990 and after,Humanities,Percentage,United States,2006 ,0
1990 and after,Not specified,Percentage,Austria,2009 ,0
