"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                        Industry - quarterly data"	"ei_bsin_q_r2"	"dataset"	"29.06.2017"	"27.04.2017"	"1980Q1"	"2017Q2"	
"                        Construction - monthly data"	"ei_bsbu_m_r2"	"dataset"	"29.06.2017"	"29.06.2017"	"1980M01"	"2017M06"	
"                        Construction - quarterly data"	"ei_bsbu_q_r2"	"dataset"	"29.06.2017"	"27.04.2017"	"1981Q1"	"2017Q2"	
"                        Retail sale - monthly data"	"ei_bsrt_m_r2"	"dataset"	"29.06.2017"	"29.06.2017"	"1984M01"	"2017M06"	
"                        Sentiment indicators - monthly data"	"ei_bssi_m_r2"	"dataset"	"29.06.2017"	"29.06.2017"	"1980M01"	"2017M06"	
"                        Services - monthly data"	"ei_bsse_m_r2"	"dataset"	"29.06.2017"	"29.06.2017"	"1988M01"	"2017M06"	
"                        Euro-zone Business Climate Indicator - monthly data"	"ei_bsci_m_r2"	"dataset"	"29.06.2017"	"30.05.2017"	"1985M01"	"2017M05"	
"                        Financial services - monthly data"	"ei_bsfs_m"	"dataset"	"29.06.2017"	"29.06.2017"	"2006M04"	"2017M06"	
"                        Financial services - quarterly data"	"ei_bsfs_q"	"dataset"	"29.06.2017"	"27.04.2017"	"2007Q3"	"2017Q2"	
"                    Business surveys - back-cast "	"ei_bcs_bc"	"folder"	" "	" "	" "	" "	
"                        Industry - monthly data"	"ei_bsin_m_bc"	"dataset"	"06.01.2011"	"12.10.2015"	"1985M01"	"2010M04"	
"                        Industry - quarterly data"	"ei_bsin_q_bc"	"dataset"	"06.01.2011"	"12.10.2015"	"1985Q1"	"2010Q2"	
"                        Construction - monthly data"	"ei_bsbu_m_bc"	"dataset"	"06.01.2011"	"12.10.2015"	"1985M01"	"2010M04"	
"                        Construction - quarterly data"	"ei_bsbu_q_bc"	"dataset"	"30.04.2010"	"12.10.2015"	"1985Q1"	"2010Q2"	
"                        Retail sale - monthly data"	"ei_bsrt_m_bc"	"dataset"	"06.01.2011"	"12.10.2015"	"1985M01"	"2010M04"	
"                        Services - monthly data"	"ei_bsse_m_bc"	"dataset"	"06.01.2011"	"12.10.2015"	"1988M01"	"2010M04"	
"            Balance of payments"	"ei_bp"	"folder"	" "	" "	" "	" "	
"                Balance of payments - BPM6"	"ei_bp_6"	"folder"	" "	" "	" "	" "	
"                    Current account - quarterly data"	"ei_bpm6ca_q"	"dataset"	"20.07.2017"	"20.07.2017"	"1982Q1"	"2017Q1"	
"                    Financial account - quarterly data"	"ei_bpm6fa_q"	"dataset"	"20.07.2017"	"20.07.2017"	"1982Q1"	"2017Q1"	
"                    Current account - monthly data"	"ei_bpm6ca_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1991M01"	"2017M05"	
"                    Financial account - monthly data"	"ei_bpm6fa_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1991M01"	"2017M05"	
"                    International investment position - quarterly data "	"ei_bpm6iip_q"	"dataset"	"20.07.2017"	"20.07.2017"	"1992Q4"	"2017Q1"	
"                Balance of payments - BPM5"	"ei_bp_5"	"folder"	" "	" "	" "	" "	
"                    Current account - monthly data"	"ei_bpca_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1999M01"	"2014M08"	
"                    Current account - quarterly data"	"ei_bpca_q"	"dataset"	"20.07.2017"	"20.07.2017"	"1970Q1"	"2014Q2"	
"                    Financial account - monthly data"	"ei_bpfa_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1999M01"	"2014M08"	
"                    European Union balance of payments, financial account - quarterly data"	"ei_bpfa_q"	"dataset"	"20.07.2017"	"20.07.2017"	"2004Q1"	"2014Q1"	
"                    International investment position - quarterly data"	"ei_bpii_q"	"dataset"	"20.07.2017"	"20.07.2017"	"1975Q1"	"2014Q2"	
"            Consumer prices "	"ei_cp"	"folder"	" "	" "	" "	" "	
"                Harmonised indices - monthly data"	"ei_cphi_m"	"dataset"	"19.07.2017"	"19.07.2017"	"1996M01"	"2017M06"	
"            International trade"	"ei_et"	"folder"	" "	" "	" "	" "	
"                EU28 international trade - monthly data"	"ei_eteu28_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1999M01"	"2017M05"	
"                Euro area 19 international trade - monthly data"	"ei_etea19_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1999M01"	"2017M05"	
"            Industry, trade and services"	"ei_is"	"folder"	" "	" "	" "	" "	
"                Industry - monthly data (NACE Rev. 2)"	"ei_isin_m"	"dataset"	"21.07.2017"	"21.07.2017"	"1980M01"	"2017M06"	
"                Industry - monthly data - growth rates (NACE Rev. 2)"	"ei_isir_m"	"dataset"	"21.07.2017"	"21.07.2017"	"1980M01"	"2017M06"	
"                Industry - quarterly data (NACE Rev. 2)"	"ei_isin_q"	"dataset"	"21.07.2017"	"21.07.2017"	"1989Q4"	"2017Q1"	
"                Construction - monthly data (NACE Rev. 2)"	"ei_isbu_m"	"dataset"	"21.07.2017"	"21.07.2017"	"1980M01"	"2017M06"	
"                Construction - quarterly data (NACE Rev. 2)"	"ei_isbu_q"	"dataset"	"21.07.2017"	"21.07.2017"	"1980Q1"	"2017Q2"	
"                Construction - monthly data - growth rates (NACE Rev. 2)"	"ei_isbr_m"	"dataset"	"19.07.2017"	"19.07.2017"	"1990M02"	"2017M05"	
"                Retail trade - monthly data (NACE Rev. 2)"	"ei_isrt_m"	"dataset"	"21.07.2017"	"21.07.2017"	"1991M01"	"2017M06"	
"                Retail trade - monthly data - growth rates (NACE Rev. 2)"	"ei_isrr_m"	"dataset"	"21.07.2017"	"21.07.2017"	"1991M02"	"2017M06"	
"                Retail trade - quarterly data (NACE Rev. 2)"	"ei_isrt_q"	"dataset"	"21.07.2017"	"21.07.2017"	"1989Q4"	"2017Q1"	
"                Turnover in services - quarterly data - growth rates (NACE Rev.2)"	"ei_isse_q"	"dataset"	"19.07.2017"	"19.07.2017"	"2014Q2"	"2017Q1"	
"                Turnover in services - quarterly data - index"	"ei_isset_q"	"dataset"	"19.07.2017"	"19.07.2017"	"2014Q2"	"2017Q1"	
"                Service producer prices - quarterly data - index"	"ei_isppi_q"	"dataset"	"19.07.2017"	"19.07.2017"	"2014Q2"	"2017Q1"	
"                Service producer prices - quarterly data - growth rates"	"ei_isppe_q"	"dataset"	"19.07.2017"	"19.07.2017"	"2014Q2"	"2017Q1"	
"                Energy - monthly data"	"ei_isen_m"	"dataset"	"13.07.2017"	"13.07.2017"	"2008M01"	"2017M06"	
"            Labour market"	"ei_lm"	"folder"	" "	" "	" "	" "	
"                Harmonised unemployment (1 000) - monthly data"	"ei_lmhu_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1983M01"	"2017M06"	
"                Harmonised unemployment rates (%) - monthly data"	"ei_lmhr_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1983M01"	"2017M06"	
"                Labour cost index, nominal value - quarterly data"	"ei_lmlc_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1996Q1"	"2017Q1"	
"                Job vacancy rate"	"ei_lmjv_q_r2"	"dataset"	"14.07.2017"	"14.07.2017"	"2001Q1"	"2017Q1"	
"            Monetary and financial indicators"	"ei_mf"	"folder"	" "	" "	" "	" "	
"                Interest rates - monthly data"	"ei_mfir_m"	"dataset"	"12.07.2017"	"12.07.2017"	"1980M01"	"2017M06"	
"                Euro/Ecu exchange rates - monthly data"	"ei_mfrt_m"	"dataset"	"20.07.2017"	"20.07.2017"	"1999M01"	"2017M06"	
"                Effective exchange rates indices - monthly data"	"ei_mfef_m"	"dataset"	"19.07.2017"	"19.07.2017"	"1999M01"	"2016M12"	
"            National accounts"	"ei_qna"	"folder"	" "	" "	" "	" "	
"                National accounts - ESA 2010"	"ei_qna_e10"	"folder"	" "	" "	" "	" "	
"                    GDP and main components (output, expenditure and income)"	"nama_10_gdp"	"dataset"	"13.07.2017"	"13.06.2017"	"1975"	"2016"	
"                    Main GDP aggregates"	"ei_namq_10_ma"	"folder"	" "	" "	" "	" "	
"                        GDP and main components  (output, expenditure and income)"	"namq_10_gdp"	"dataset"	"13.07.2017"	"28.04.2017"	"1975Q1"	"2017Q1"	
"                        Final consumption aggregates"	"namq_10_fcs"	"dataset"	"13.07.2017"	"28.04.2017"	"1978Q1"	"2017Q1"	
"                        Exports and imports by Member States of the EU/third countries"	"namq_10_exi"	"dataset"	"13.07.2017"	"16.05.2017"	"1980Q1"	"2017Q1"	
"                    Basic breakdowns of main GDP aggregates and employment (by industry and assets)"	"ei_namq_10_bbr"	"folder"	" "	" "	" "	" "	
"                        Gross value added and income A*10 industry breakdowns"	"namq_10_a10"	"dataset"	"13.07.2017"	"28.04.2017"	"1975Q1"	"2017Q1"	
"                        Gross fixed capital formation with AN_F6  asset breakdowns"	"namq_10_an6"	"dataset"	"13.07.2017"	"28.04.2017"	"1978Q1"	"2017Q1"	
"                        Employment A*10 industry breakdowns"	"namq_10_a10_e"	"dataset"	"13.07.2017"	"28.04.2017"	"1980Q1"	"2017Q1"	
"                    Quarterly sector accounts (ESA 2010)"	"ei_nasq_10"	"folder"	" "	" "	" "	" "	
"                        Key indicators"	"nasq_10_ki"	"dataset"	"06.07.2017"	"06.07.2017"	"1980Q1"	"2017Q1"	
"                        Non-financial transactions"	"nasq_10_nf_tr"	"dataset"	"06.07.2017"	"06.07.2017"	"1980Q1"	"2017Q1"	
"                National accounts - ESA 1995"	"ei_qna_e95"	"folder"	" "	" "	" "	" "	
"                    Aggregates by branch - NACE Rev. 1.1"	"ei_qna_r1"	"folder"	" "	" "	" "	" "	
"                        Aggregates by branch - quarterly data"	"ei_naag_q"	"dataset"	"08.06.2017"	"08.06.2017"	"1980Q1"	"2014Q1"	
"                        Aggregates by branch - quarterly data - growth rates"	"ei_naar_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2014Q1"	
"                    Aggregates by branch - NACE Rev. 2"	"ei_qna_r2"	"folder"	" "	" "	" "	" "	
"                        Aggregates by branch - quarterly data - current prices"	"ei_naag_q_r2"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2016Q2"	
"                        Aggregates by branch - quarterly data - volumes"	"ei_navo_q_r2"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2014Q2"	
"                        Aggregates by branch - quarterly data - employment"	"ei_naem_q_r2"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2014Q2"	
"                        Main aggregates - quarterly data"	"ei_nama_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2016Q2"	
"                        Main aggregates - quarterly data - growth rates"	"ei_namr_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2016Q2"	
"                        Main aggregates - annual data"	"ei_nama_a"	"dataset"	"08.06.2017"	"08.06.2017"	"1948"	"2015"	
"                        Income aggregates - quarterly data"	"ei_naia_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2016Q2"	
"                        Government accounts - annual data"	"ei_naga_a"	"dataset"	"20.07.2017"	"20.07.2017"	"1980"	"2016"	
"                        Price and cost indices - quarterly data"	"ei_napc_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1980Q1"	"2016Q2"	
"                        General government deficit (-) and surplus (+) - quarterly data"	"ei_nagd_q_r2"	"dataset"	"20.07.2017"	"20.07.2017"	"1980Q1"	"2017Q1"	
"                        General government gross debt - quarterly data"	"ei_nagt_q_r2"	"dataset"	"20.07.2017"	"20.07.2017"	"1995Q4"	"2017Q1"	
"                    Quarterly Sector Accounts"	"ei_qna_sect"	"folder"	" "	" "	" "	" "	
"                        Headline indicators"	"ei_nasa_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1999Q1"	"2014Q1"	
"                        Main aggregates"	"ei_nanf_q"	"dataset"	"19.07.2017"	"19.07.2017"	"1999Q1"	"2014Q1"	
"            Housing price statistics"	"ei_hp"	"folder"	" "	" "	" "	" "	
"                House price index (2015 = 100) - quarterly data"	"ei_hppi_q"	"dataset"	"19.07.2017"	"20.07.2017"	"2005Q1"	"2017Q1"	
"        Regional statistics by NUTS classification"	"reg"	"folder"	" "	" "	" "	" "	
"            Regional agriculture statistics"	"reg_agr"	"folder"	" "	" "	" "	" "	
"                Agri-environmental indicators"	"reg_aei"	"folder"	" "	" "	" "	" "	
"                    Estimated soil erosion by water, by NUTS 3 regions (source: JRC)"	"aei_pr_soiler"	"dataset"	"25.04.2017"	"25.04.2017"	"2000"	"2012"	
"                    Manure storage facilities by NUTS 3 regions"	"aei_fm_ms"	"dataset"	"17.12.2015"	"17.12.2015"	"2000"	"2010"	
"                Structure of agricultural holdings"	"reg_ef"	"folder"	" "	" "	" "	" "	
"                    Structure of agricultural holdings 2010"	"reg_ef_2010"	"folder"	" "	" "	" "	" "	
"                        Key farm variables"	"reg_ef_kv"	"folder"	" "	" "	" "	" "	
"                            Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions"	"ef_kvaareg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions"	"ef_kvftreg"	"dataset"	"16.01.2017"	"16.03.2015"	"2005"	"2013"	
"                        Farm land use - Permanent crops, other farmland, irrigation"	"reg_ef_po"	"folder"	" "	" "	" "	" "	
"                            Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_oluaareg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_oluecsreg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 regions"	"ef_popermreg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 regions"	"ef_poirrig"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                        Overview - farm livestock"	"reg_ef_ols"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_olsaareg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 regions"	"ef_olslsureg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_olsecsreg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                        Farm labour force and management"	"reg_ef_molf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 regions"	"ef_olfreg"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mporganic"	"dataset"	"16.01.2017"	"12.03.2015"	"2003"	"2013"	
"                            Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 regions"	"ef_mptenure"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                            Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 regions"	"ef_mptenurecs"	"dataset"	"16.01.2017"	"12.03.2015"	"2005"	"2013"	
"                        Survey on agricultural production methods (SAPM, 2010)"	"reg_ef_pm"	"folder"	" "	" "	" "	" "	
"                            Tillage methods: number of farms and  areas by size of arable area and NUTS 2 regions"	"ef_pmtilaa"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Tillage methods: number of farms and  areas by economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmtilecs"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Soil conservation: number of farms and  areas by size of arable area and NUTS 2 regions"	"ef_pmsoilaa"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Soil conservation: number of farms and  areas by economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmsoilecs"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Landscape features: number of farms and  areas by agricultural size (UAA),  economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmlandscape"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Animal grazing on the holding: number of farms and area grazed by duration, economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmgrazecs"	"dataset"	"16.01.2017"	"26.06.2013"	"2010"	"2010"	
"                            Animal housing - cattle: number of farms and places by cattle size classes, economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmhouscatlec"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Animal housing - cattle: number of farms and places by cattle size class, agricultural size of farm (UAA) and NUTS 2 regions "	"ef_pmhouscatlaa"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Animal housing - pigs: number of farms and places by pig size classes, economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmhouspigec"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Animal housing - laying hens: number of farms and places by laying hens size classes, economic size of farm (SO in euros) and NUTS 2 regions"	"ef_pmhouslhenec"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Manure exported from the holding  in % of total produced: number of farms and areas by economic size (SO in euros), agriculture size (UAA) of farm and NUTS 2 regions"	"ef_pmmanexpaa"	"dataset"	"16.01.2017"	"26.06.2013"	"2010"	"2010"	
"                            Manure exported from the holding  in % of total produced: number of farms and  areas by economic size (SO in euros), livestock units (LSU) of farm and NUTS 2 regions"	"ef_pmmanexplsu"	"dataset"	"16.01.2017"	"26.06.2013"	"2010"	"2010"	
"                            Manure storage and treatment facilities: number of farms and areas  by economic size (SO in euros), agriculture size (UAA) of farm and NUTS 2 regions"	"ef_pmmanstoaa"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                            Manure storage and treatment facilities: number of farms and areas by economic size (SO in euros), livestock units (LSU) of farm and NUTS 2 regions"	"ef_pmmanstolsu"	"dataset"	"16.01.2017"	"08.11.2013"	"2010"	"2010"	
"                    Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h"	"folder"	" "	" "	" "	" "	
"                        Overview of agricultural holdings"	"reg_ef_ov"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_ov_kvaa"	"dataset"	"26.03.2009"	"06.03.2012"	"1990"	"2007"	
"                            Key variables by type of farming (2-digit) and NUTS 2 regions"	"ef_ov_kvftreg"	"dataset"	"26.03.2009"	"16.03.2015"	"2000"	"2007"	
"                        Land use"	"reg_ef_lu"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ovcropaa"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 regions"	"ef_lu_ovcropesu"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 regions"	"ef_lu_pcreg"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions"	"ef_lu_ofirrig"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                        Livestock"	"reg_ef_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions"	"ef_ls_ovaareg"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions"	"ef_ls_ovlsureg"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions"	"ef_ls_ovesu"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                        Special interest topics"	"reg_ef_so"	"folder"	" "	" "	" "	" "	
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 regions"	"ef_so_mporg"	"dataset"	"17.04.2009"	"06.03.2012"	"2000"	"2007"	
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 regions"	"ef_so_mptenure"	"dataset"	"26.03.2009"	"28.04.2015"	"1990"	"2007"	
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 regions"	"ef_so_lfaa"	"dataset"	"14.04.2009"	"07.07.2017"	"1990"	"2007"	
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 regions"	"ef_so_lfesu"	"dataset"	"14.04.2009"	"07.07.2017"	"1990"	"2007"	
"                        Structure of agricultural holdings by region, main indicators"	"reg_ef_r_main"	"folder"	" "	" "	" "	" "	
"                            Structure of agricultural holdings by NUTS 3 regions - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"13.03.2015"	"2000"	"2007"	
"                Agricultural production "	"reg_apro"	"folder"	" "	" "	" "	" "	
"                    Animal populations by NUTS 2 regions"	"agr_r_animal"	"dataset"	"28.06.2017"	"05.04.2017"	"1977"	"2016"	
"                    Crop statistics by NUTS 2 regions (from 2000 onwards)"	"agr_r_acs"	"dataset"	"19.07.2017"	"03.02.2017"	"2000"	"2017"	
"                    Production of cow's milk on farms by NUTS 2 regions"	"agr_r_milkpr"	"dataset"	"03.07.2017"	"02.06.2017"	"1995"	"2016"	
"                Economic accounts for agriculture by NUTS 2 regions"	"agr_r_accts"	"dataset"	"19.07.2017"	"05.01.2017"	"1973"	"2015"	
"            Regional demographic statistics"	"reg_dem"	"folder"	" "	" "	" "	" "	
"                Population and area"	"reg_dempoar"	"folder"	" "	" "	" "	" "	
"                    Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"30.05.2017"	"16.03.2017"	"1990"	"2016"	
"                    Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"19.05.2017"	"15.02.2017"	"1990"	"2015"	
"                    Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"31.05.2017"	"15.02.2017"	"1990"	"2015"	
"                    Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"30.05.2017"	"16.03.2017"	"1990"	"2016"	
"                    Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"30.05.2017"	"15.02.2017"	"2014"	"2016"	
"                    Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"30.05.2017"	"16.03.2017"	"1990"	"2016"	
"                    Population: Structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"30.05.2017"	"07.02.2017"	"1990"	"2016"	
"                    Population: Structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"30.05.2017"	"07.02.2017"	"2014"	"2016"	
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"07.07.2017"	"15.02.2017"	"2000"	"2016"	
"                Fertility"	"reg_demfer"	"folder"	" "	" "	" "	" "	
"                    Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"12.05.2017"	"08.03.2017"	"1990"	"2015"	
"                    Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"31.05.2017"	"08.03.2017"	"2013"	"2015"	
"                    Live births by mother's age and NUTS 2 region"	"demo_r_fagec"	"dataset"	"31.05.2017"	"27.04.2017"	"1990"	"2015"	
"                    Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"31.05.2017"	"08.03.2017"	"1990"	"2015"	
"                    Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"31.05.2017"	"08.03.2017"	"1990"	"2015"	
"                    Total fertility rate by NUTS 3 region"	"demo_r_frate3"	"dataset"	"31.05.2017"	"08.03.2017"	"2014"	"2015"	
"                Mortality"	"reg_demmor"	"folder"	" "	" "	" "	" "	
"                    Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"12.05.2017"	"10.03.2017"	"1990"	"2015"	
"                    Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"28.04.2017"	"09.03.2017"	"2013"	"2015"	
"                    Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"24.05.2017"	"10.03.2017"	"1990"	"2015"	
"                    Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"24.05.2017"	"24.05.2017"	"1990"	"2015"	
"                    Infant mortality rates by NUTS 2 region"	"demo_r_minfind"	"dataset"	"12.05.2017"	"16.03.2017"	"1990"	"2015"	
"                    Life table by NUTS 2 region"	"demo_r_mlife"	"dataset"	"31.05.2017"	"19.05.2017"	"1990"	"2015"	
